,name,wins,ties,total_games,winrate
"3H, 3D, 3S",3 trail,7181,0,7321,0.9809
"3H, 3S, 3C",3 trail,7072,0,7198,0.9825
"3D, 3S, 3C",3 trail,7156,0,7286,0.9822
"3D, 3H, 3C",3 trail,7213,0,7343,0.9823
"2S, 2D, 2H",2 trail,7042,0,7184,0.9802
"2S, 2C, 2H",2 trail,7006,0,7126,0.9832
"2S, 2C, 2D",2 trail,7324,0,7460,0.9818
"2C, 2D, 2H",2 trail,6982,0,7105,0.9827
"QS, KS, AS",A-K-Q straight flush,7177,7,7306,0.9823
"KH, AH, QH",A-K-Q straight flush,7090,9,7223,0.9816
"AD, KD, QD",A-K-Q straight flush,7104,5,7230,0.9826
"KC, QC, AC",A-K-Q straight flush,7171,7,7310,0.981
"2S, 3S, AS",A-2-3 straight flush,6995,3,7127,0.9815
"AH, 3H, 2H",A-2-3 straight flush,7162,5,7285,0.9831
"AD, 2D, 3D",A-2-3 straight flush,7117,6,7249,0.9818
"2C, AC, 3C",A-2-3 straight flush,7103,4,7244,0.9805
"KS, QS, JS",K-Q-J straight flush,7192,3,7336,0.9804
"KH, QH, JH",K-Q-J straight flush,7132,6,7269,0.9812
"JD, KD, QD",K-Q-J straight flush,7168,2,7289,0.9834
"KC, QC, JC",K-Q-J straight flush,7044,7,7185,0.9804
"10S, QS, JS",Q-J-10 straight flush,7053,6,7216,0.9774
"10H, QH, JH",Q-J-10 straight flush,7146,7,7309,0.9777
"JD, QD, 10D",Q-J-10 straight flush,6967,5,7125,0.9778
"10C, QC, JC",Q-J-10 straight flush,7045,8,7201,0.9783
"9S, 10S, JS",J-10-9 straight flush,7095,10,7265,0.9766
"9H, 10H, JH",J-10-9 straight flush,7073,13,7223,0.9792
"9D, JD, 10D",J-10-9 straight flush,7096,9,7262,0.9771
"10C, 9C, JC",J-10-9 straight flush,7056,6,7216,0.9778
"9S, 10S, 8S",10-9-8 straight flush,7080,10,7237,0.9783
"9H, 10H, 8H",10-9-8 straight flush,7078,11,7261,0.9748
"9D, 8D, 10D",10-9-8 straight flush,7015,10,7189,0.9758
"8C, 9C, 10C",10-9-8 straight flush,7142,13,7334,0.9738
"9S, 8S, 7S",9-8-7 straight flush,7168,10,7354,0.9747
"9H, 8H, 7H",9-8-7 straight flush,7057,10,7267,0.9711
"7D, 9D, 8D",9-8-7 straight flush,7050,11,7219,0.9766
"8C, 9C, 7C",9-8-7 straight flush,7060,11,7251,0.9737
"6S, 8S, 7S",8-7-6 straight flush,7017,13,7225,0.9712
"8H, 6H, 7H",8-7-6 straight flush,6973,8,7182,0.9709
"7D, 6D, 8D",8-7-6 straight flush,7016,8,7194,0.9753
"8C, 6C, 7C",8-7-6 straight flush,7129,9,7303,0.9762
"6S, 5S, 7S",7-6-5 straight flush,6986,11,7198,0.9705
"5H, 6H, 7H",7-6-5 straight flush,7103,8,7300,0.973
"7D, 6D, 5D",7-6-5 straight flush,7237,10,7435,0.9734
"6C, 5C, 7C",7-6-5 straight flush,6964,11,7171,0.9711
"6S, 5S, 4S",6-5-4 straight flush,7041,10,7271,0.9684
"5H, 6H, 4H",6-5-4 straight flush,7032,9,7231,0.9725
"6D, 4D, 5D",6-5-4 straight flush,7137,6,7357,0.9701
"6C, 4C, 5C",6-5-4 straight flush,7007,7,7235,0.9685
"5S, 3S, 4S",5-4-3 straight flush,7063,4,7283,0.9698
"5H, 4H, 3H",5-4-3 straight flush,7114,7,7367,0.9657
"5D, 4D, 3D",5-4-3 straight flush,6958,9,7156,0.9723
"4C, 5C, 3C",5-4-3 straight flush,7054,8,7285,0.9683
"2S, 3S, 4S",4-3-2 straight flush,6954,7,7197,0.9662
"4H, 3H, 2H",4-3-2 straight flush,7061,5,7286,0.9691
"2D, 4D, 3D",4-3-2 straight flush,7020,6,7259,0.9671
"4C, 2C, 3C",4-3-2 straight flush,6993,2,7228,0.9675
"KS, AH, QH",A-K-Q straight,6829,70,7138,0.9567
"KH, AH, QS",A-K-Q straight,6952,60,7234,0.961
"QC, KD, AH",A-K-Q straight,7080,60,7363,0.9616
"KS, QD, AS",A-K-Q straight,6913,55,7197,0.9605
"KD, AC, QD",A-K-Q straight,6841,74,7158,0.9557
"KC, QC, AH",A-K-Q straight,6940,64,7244,0.958
"KH, AC, QS",A-K-Q straight,6980,53,7286,0.958
"KS, AH, QS",A-K-Q straight,6837,56,7126,0.9594
"QC, KS, AH",A-K-Q straight,6876,62,7171,0.9589
"KH, QD, AS",A-K-Q straight,7073,53,7350,0.9623
"KC, QD, AS",A-K-Q straight,6954,62,7232,0.9616
"QS, KD, AS",A-K-Q straight,6915,68,7197,0.9608
"AD, KH, QC",A-K-Q straight,7014,96,7340,0.9556
"KS, AC, QS",A-K-Q straight,7116,66,7384,0.9637
"KH, AC, QH",A-K-Q straight,6974,69,7285,0.9573
"QH, KS, AS",A-K-Q straight,6974,64,7286,0.9572
"KH, AC, QD",A-K-Q straight,7073,79,7376,0.9589
"KC, AD, QS",A-K-Q straight,6873,53,7172,0.9583
"QC, KH, AH",A-K-Q straight,6964,61,7251,0.9604
"AD, KS, QC",A-K-Q straight,6971,70,7259,0.9603
"KS, AC, QH",A-K-Q straight,6892,67,7172,0.961
"QH, KH, AS",A-K-Q straight,7078,68,7387,0.9582
"KS, AC, QD",A-K-Q straight,6922,79,7239,0.9562
"KH, AH, QD",A-K-Q straight,7034,58,7315,0.9616
"KC, AC, QH",A-K-Q straight,6956,62,7259,0.9583
"KC, AD, QC",A-K-Q straight,6936,57,7225,0.96
"KC, QS, AS",A-K-Q straight,7068,67,7345,0.9623
"KD, AC, QH",A-K-Q straight,7010,73,7315,0.9583
"AD, KD, QC",A-K-Q straight,6898,84,7225,0.9547
"AD, KS, QH",A-K-Q straight,6932,82,7267,0.9539
"QS, KH, AS",A-K-Q straight,6975,70,7260,0.9607
"QC, KS, AC",A-K-Q straight,6815,60,7096,0.9604
"AD, KD, QS",A-K-Q straight,6985,63,7309,0.9557
"KS, AH, QD",A-K-Q straight,7001,71,7295,0.9597
"QH, KD, AS",A-K-Q straight,7049,69,7335,0.961
"KC, AC, QS",A-K-Q straight,6921,77,7237,0.9563
"KH, QC, AS",A-K-Q straight,6970,64,7281,0.9573
"KC, AS, QH",A-K-Q straight,7044,61,7357,0.9575
"AD, KH, QH",A-K-Q straight,6999,77,7340,0.9535
"KC, AD, QH",A-K-Q straight,6926,59,7205,0.9613
"QC, KH, AC",A-K-Q straight,6984,66,7270,0.9607
"QC, KD, AC",A-K-Q straight,6968,77,7287,0.9562
"KS, QC, AS",A-K-Q straight,7035,62,7346,0.9577
"AD, KD, QH",A-K-Q straight,6952,81,7245,0.9596
"AD, KS, QD",A-K-Q straight,7073,66,7355,0.9617
"KD, AH, QS",A-K-Q straight,6932,74,7248,0.9564
"AD, KH, QD",A-K-Q straight,6887,56,7147,0.9636
"KD, AC, QS",A-K-Q straight,6980,63,7272,0.9598
"AD, KS, QS",A-K-Q straight,6956,83,7276,0.956
"KD, AH, QD",A-K-Q straight,6905,67,7194,0.9598
"KC, AH, QS",A-K-Q straight,6874,60,7146,0.9619
"AD, KH, QS",A-K-Q straight,7003,69,7306,0.9585
"KD, QC, AS",A-K-Q straight,7082,74,7368,0.9612
"KC, AC, QD",A-K-Q straight,6798,77,7102,0.9572
"KC, QC, AS",A-K-Q straight,6815,70,7123,0.9568
"KC, AD, QD",A-K-Q straight,6947,48,7224,0.9617
"KD, AH, QH",A-K-Q straight,7123,72,7423,0.9596
"KC, AH, QH",A-K-Q straight,7029,65,7303,0.9625
"KD, QD, AS",A-K-Q straight,6914,61,7232,0.956
"KC, AH, QD",A-K-Q straight,6984,71,7302,0.9565
"AD, 3C, 2H",A-2-3 straight,6821,66,7239,0.9423
"AD, 2C, 3S",A-2-3 straight,6791,59,7158,0.9487
"2H, 3C, AS",A-2-3 straight,6746,64,7156,0.9427
"2S, AH, 3S",A-2-3 straight,6931,66,7327,0.946
"2D, AC, 3H",A-2-3 straight,6809,70,7216,0.9436
"2S, AD, 3C",A-2-3 straight,6758,70,7143,0.9461
"2D, AH, 3S",A-2-3 straight,6724,64,7121,0.9442
"2S, AC, 3C",A-2-3 straight,6819,72,7244,0.9413
"2D, AC, 3C",A-2-3 straight,6779,68,7219,0.939
"2H, 3D, AS",A-2-3 straight,6646,69,7036,0.9446
"2S, 3H, AS",A-2-3 straight,6715,82,7155,0.9385
"2C, AC, 3S",A-2-3 straight,6846,59,7269,0.9418
"AD, 3H, 2H",A-2-3 straight,6798,71,7207,0.9432
"2C, 3C, AS",A-2-3 straight,6858,60,7264,0.9441
"2D, AH, 3C",A-2-3 straight,6810,64,7237,0.941
"2H, 3S, AS",A-2-3 straight,6672,71,7088,0.9413
"2C, AC, 3D",A-2-3 straight,6798,60,7207,0.9432
"2C, 3S, AS",A-2-3 straight,6893,53,7294,0.945
"2S, AC, 3H",A-2-3 straight,6906,75,7342,0.9406
"AC, 3D, 2H",A-2-3 straight,6809,60,7236,0.941
"2C, 3D, AS",A-2-3 straight,6690,81,7110,0.9409
"AC, 3S, 2H",A-2-3 straight,6802,65,7219,0.9422
"2D, 3H, AS",A-2-3 straight,6815,56,7225,0.9433
"AH, 3D, 2H",A-2-3 straight,6949,63,7392,0.9401
"2S, AD, 3D",A-2-3 straight,6723,60,7116,0.9448
"2S, AD, 3S",A-2-3 straight,6787,82,7214,0.9408
"AD, 2D, 3S",A-2-3 straight,6728,77,7153,0.9406
"2C, AH, 3S",A-2-3 straight,7056,61,7454,0.9466
"AD, 2C, 3C",A-2-3 straight,6765,63,7166,0.944
"2D, AH, 3D",A-2-3 straight,6766,63,7155,0.9456
"2S, AH, 3D",A-2-3 straight,6886,66,7275,0.9465
"AD, 2C, 3H",A-2-3 straight,6841,53,7249,0.9437
"2D, AH, 3H",A-2-3 straight,6742,65,7164,0.9411
"2S, AH, 3H",A-2-3 straight,6940,67,7347,0.9446
"2D, AC, 3S",A-2-3 straight,6759,73,7204,0.9382
"2C, AH, 3C",A-2-3 straight,6705,73,7146,0.9383
"2D, AC, 3D",A-2-3 straight,6819,66,7260,0.9393
"2C, AC, 3H",A-2-3 straight,6695,56,7122,0.94
"AD, 3S, 2H",A-2-3 straight,6820,59,7203,0.9468
"2H, 3H, AS",A-2-3 straight,6912,67,7341,0.9416
"2S, 3D, AS",A-2-3 straight,6890,61,7284,0.9459
"AD, 3D, 2H",A-2-3 straight,6833,55,7258,0.9414
"2C, 3H, AS",A-2-3 straight,6733,74,7140,0.943
"2S, AC, 3S",A-2-3 straight,6795,58,7231,0.9397
"AH, 3S, 2H",A-2-3 straight,6818,52,7235,0.9424
"2D, 3C, AS",A-2-3 straight,6794,61,7174,0.947
"2S, 3C, AS",A-2-3 straight,6812,60,7243,0.9405
"2S, AC, 3D",A-2-3 straight,6737,77,7194,0.9365
"AC, 3H, 2H",A-2-3 straight,6962,58,7356,0.9464
"2D, 3S, AS",A-2-3 straight,6801,71,7232,0.9404
"AH, 3C, 2H",A-2-3 straight,6910,67,7360,0.9389
"AD, 2D, 3C",A-2-3 straight,6866,69,7281,0.943
"2C, AH, 3D",A-2-3 straight,6925,62,7339,0.9436
"2D, 3D, AS",A-2-3 straight,6866,71,7285,0.9425
"2S, AD, 3H",A-2-3 straight,6706,69,7101,0.9444
"AD, 2D, 3H",A-2-3 straight,6780,69,7207,0.9408
"2C, AH, 3H",A-2-3 straight,6810,64,7217,0.9436
"AD, 2C, 3D",A-2-3 straight,6819,67,7242,0.9416
"AC, 3C, 2H",A-2-3 straight,6733,70,7164,0.9398
"2S, AH, 3C",A-2-3 straight,6854,62,7259,0.9442
"KD, QS, JH",K-Q-J straight,6645,68,7145,0.93
"KS, JD, QS",K-Q-J straight,6800,67,7333,0.9273
"KC, JC, QH",K-Q-J straight,6661,85,7250,0.9188
"KH, JC, QH",K-Q-J straight,6629,62,7207,0.9198
"KD, QD, JS",K-Q-J straight,6707,65,7267,0.9229
"KC, QD, JS",K-Q-J straight,6609,61,7153,0.9239
"KC, QH, JH",K-Q-J straight,6633,71,7185,0.9232
"KD, QH, JH",K-Q-J straight,6716,64,7226,0.9294
"KH, JD, QS",K-Q-J straight,6844,58,7344,0.9319
"KS, JD, QH",K-Q-J straight,6676,75,7226,0.9239
"KS, JC, QH",K-Q-J straight,6844,69,7386,0.9266
"KS, QD, JS",K-Q-J straight,6739,61,7283,0.9253
"KD, JD, QS",K-Q-J straight,6607,66,7142,0.9251
"KC, QD, JD",K-Q-J straight,6690,77,7216,0.9271
"KC, QD, JC",K-Q-J straight,6700,59,7241,0.9253
"KC, QH, JS",K-Q-J straight,6691,70,7244,0.9237
"KD, QD, JC",K-Q-J straight,6623,79,7167,0.9241
"KC, QC, JH",K-Q-J straight,6650,62,7161,0.9286
"KH, JD, QH",K-Q-J straight,6652,68,7176,0.927
"KD, JC, QH",K-Q-J straight,6758,57,7263,0.9305
"KD, QC, JH",K-Q-J straight,6654,64,7202,0.9239
"KH, QD, JS",K-Q-J straight,6842,70,7370,0.9284
"JD, KS, QD",K-Q-J straight,6594,56,7123,0.9257
"KD, QS, JS",K-Q-J straight,6665,69,7205,0.9251
"KC, QS, JS",K-Q-J straight,6890,59,7443,0.9257
"KC, JC, QS",K-Q-J straight,6701,63,7243,0.9252
"KD, QC, JS",K-Q-J straight,6597,79,7160,0.9214
"KD, JC, QS",K-Q-J straight,6773,63,7332,0.9238
"KH, QD, JC",K-Q-J straight,6859,64,7391,0.928
"JD, KH, QD",K-Q-J straight,6728,68,7279,0.9243
"KS, QD, JC",K-Q-J straight,6714,72,7266,0.924
"KH, QS, JS",K-Q-J straight,6688,56,7234,0.9245
"KS, QH, JS",K-Q-J straight,6844,82,7460,0.9174
"KH, QD, JH",K-Q-J straight,6675,65,7229,0.9234
"KC, QD, JH",K-Q-J straight,6589,70,7104,0.9275
"KC, QC, JS",K-Q-J straight,6492,61,7021,0.9247
"KS, QH, JH",K-Q-J straight,6707,66,7279,0.9214
"KH, QH, JS",K-Q-J straight,6657,79,7190,0.9259
"KS, QD, JH",K-Q-J straight,6638,74,7160,0.9271
"KC, QC, JD",K-Q-J straight,6759,67,7315,0.924
"JD, KD, QC",K-Q-J straight,6766,62,7336,0.9223
"KS, QC, JH",K-Q-J straight,6687,73,7246,0.9229
"KH, JC, QS",K-Q-J straight,6593,75,7128,0.9249
"KH, QC, JS",K-Q-J straight,6708,69,7232,0.9275
"KD, QD, JH",K-Q-J straight,6741,65,7301,0.9233
"KC, QS, JH",K-Q-J straight,6814,54,7370,0.9246
"KS, QC, JC",K-Q-J straight,6756,54,7300,0.9255
"KH, QS, JH",K-Q-J straight,6702,62,7196,0.9314
"KC, JD, QH",K-Q-J straight,6650,55,7212,0.9221
"KH, QC, JH",K-Q-J straight,6606,72,7158,0.9229
"KS, JC, QS",K-Q-J straight,6675,68,7220,0.9245
"KS, QC, JS",K-Q-J straight,6710,62,7274,0.9225
"KD, JD, QH",K-Q-J straight,6606,63,7151,0.9238
"JD, KH, QC",K-Q-J straight,6787,60,7328,0.9262
"KH, QC, JC",K-Q-J straight,6705,69,7259,0.9237
"KD, QC, JC",K-Q-J straight,6907,56,7449,0.9272
"KS, QS, JH",K-Q-J straight,6795,60,7370,0.922
"KC, JD, QS",K-Q-J straight,6641,70,7218,0.9201
"JD, KS, QC",K-Q-J straight,6695,61,7211,0.9284
"KD, QH, JS",K-Q-J straight,6744,59,7307,0.923
"JD, 10C, QS",Q-J-10 straight,6508,61,7183,0.906
"JD, QC, 10S",Q-J-10 straight,6515,69,7179,0.9075
"QC, JC, 10S",Q-J-10 straight,6746,59,7384,0.9136
"10D, QS, JS",Q-J-10 straight,6649,51,7277,0.9137
"JD, 10C, QH",Q-J-10 straight,6525,59,7176,0.9093
"QD, 10S, JS",Q-J-10 straight,6639,59,7240,0.917
"10H, QS, JS",Q-J-10 straight,6646,81,7306,0.9097
"10C, QS, JH",Q-J-10 straight,6425,80,7092,0.906
"10S, JC, QH",Q-J-10 straight,6577,69,7246,0.9077
"10H, JD, QH",Q-J-10 straight,6604,64,7247,0.9113
"10S, JD, QS",Q-J-10 straight,6548,58,7231,0.9055
"JD, QC, 10C",Q-J-10 straight,6635,64,7292,0.9099
"JD, 10H, QD",Q-J-10 straight,6496,66,7142,0.9095
"QD, 10D, JS",Q-J-10 straight,6587,64,7283,0.9044
"10D, JC, QH",Q-J-10 straight,6566,75,7218,0.9097
"JD, 10D, QH",Q-J-10 straight,6536,62,7191,0.9089
"10S, JD, QH",Q-J-10 straight,6623,62,7256,0.9128
"JD, 10H, QC",Q-J-10 straight,6512,70,7158,0.9098
"10H, QD, JS",Q-J-10 straight,6665,65,7328,0.9095
"QC, 10C, JS",Q-J-10 straight,6567,63,7189,0.9135
"10H, JC, QH",Q-J-10 straight,6649,56,7334,0.9066
"QD, 10C, JH",Q-J-10 straight,6692,67,7312,0.9152
"JD, 10D, QS",Q-J-10 straight,6572,60,7220,0.9102
"JD, QC, 10D",Q-J-10 straight,6504,61,7182,0.9056
"10S, QH, JS",Q-J-10 straight,6584,76,7220,0.9119
"10H, QC, JS",Q-J-10 straight,6611,75,7263,0.9102
"QD, JC, 10S",Q-J-10 straight,6561,69,7238,0.9065
"JD, QD, 10S",Q-J-10 straight,6511,67,7184,0.9063
"10H, JD, QS",Q-J-10 straight,6495,60,7189,0.9035
"10H, JC, QS",Q-J-10 straight,6682,56,7273,0.9187
"10D, QS, JH",Q-J-10 straight,6699,59,7309,0.9165
"QC, 10D, JS",Q-J-10 straight,6546,76,7225,0.906
"10D, JC, QS",Q-J-10 straight,6580,74,7280,0.9038
"10H, QC, JH",Q-J-10 straight,6575,68,7236,0.9087
"10C, JC, QS",Q-J-10 straight,6539,81,7176,0.9112
"10S, QH, JH",Q-J-10 straight,6621,66,7308,0.906
"QC, 10S, JS",Q-J-10 straight,6575,57,7210,0.9119
"10C, QS, JS",Q-J-10 straight,6688,70,7335,0.9118
"10H, QS, JH",Q-J-10 straight,6499,57,7137,0.9106
"QC, JC, 10D",Q-J-10 straight,6610,72,7265,0.9098
"QD, 10S, JH",Q-J-10 straight,6517,78,7167,0.9093
"QC, 10D, JH",Q-J-10 straight,6509,74,7157,0.9095
"QC, 10C, JH",Q-J-10 straight,6606,65,7320,0.9025
"10C, QH, JS",Q-J-10 straight,6656,68,7292,0.9128
"10H, QC, JC",Q-J-10 straight,6636,66,7310,0.9078
"10C, QD, JC",Q-J-10 straight,6673,59,7308,0.9131
"JD, QD, 10C",Q-J-10 straight,6607,72,7240,0.9126
"QD, 10D, JH",Q-J-10 straight,6586,63,7196,0.9152
"10H, QH, JS",Q-J-10 straight,6792,67,7481,0.9079
"10D, QH, JH",Q-J-10 straight,6578,68,7199,0.9137
"10H, QD, JC",Q-J-10 straight,6533,59,7201,0.9072
"10S, JC, QS",Q-J-10 straight,6608,52,7253,0.9111
"10C, QH, JH",Q-J-10 straight,6664,65,7331,0.909
"QD, 10C, JS",Q-J-10 straight,6618,69,7270,0.9103
"10S, QS, JH",Q-J-10 straight,6541,72,7206,0.9077
"10C, JC, QH",Q-J-10 straight,6429,53,7052,0.9117
"10H, QD, JH",Q-J-10 straight,6582,67,7214,0.9124
"10D, QH, JS",Q-J-10 straight,6675,70,7386,0.9037
"QD, JC, 10D",Q-J-10 straight,6568,61,7229,0.9086
"QC, 10S, JH",Q-J-10 straight,6517,72,7207,0.9043
"9H, 10H, JD",J-10-9 straight,6358,61,7166,0.8872
"10H, 9S, JD",J-10-9 straight,6240,60,7065,0.8832
"10H, 9D, JC",J-10-9 straight,6523,65,7312,0.8921
"9C, 10S, JH",J-10-9 straight,6404,64,7216,0.8875
"9S, 10D, JH",J-10-9 straight,6543,57,7323,0.8935
"10H, 9D, JH",J-10-9 straight,6371,70,7175,0.8879
"9H, 10D, JH",J-10-9 straight,6444,60,7240,0.8901
"9D, 10C, JS",J-10-9 straight,6464,70,7272,0.8889
"9C, JD, 10S",J-10-9 straight,6369,62,7174,0.8878
"9D, 10D, JS",J-10-9 straight,6428,65,7207,0.8919
"9D, 10D, JC",J-10-9 straight,6490,58,7304,0.8886
"9H, 10C, JS",J-10-9 straight,6438,74,7276,0.8848
"9S, 10C, JS",J-10-9 straight,6415,61,7201,0.8908
"10H, 9S, JH",J-10-9 straight,6511,66,7297,0.8923
"9D, 10C, JH",J-10-9 straight,6476,68,7272,0.8905
"10H, 9D, JS",J-10-9 straight,6443,68,7305,0.882
"9D, 10S, JC",J-10-9 straight,6376,51,7171,0.8891
"9C, JD, 10C",J-10-9 straight,6398,66,7157,0.8939
"9D, 10S, JS",J-10-9 straight,6566,67,7392,0.8883
"9C, JD, 10D",J-10-9 straight,6372,63,7150,0.8912
"9S, 10S, JH",J-10-9 straight,6465,81,7314,0.8839
"9H, 10S, JH",J-10-9 straight,6531,65,7373,0.8858
"9D, 10S, JH",J-10-9 straight,6349,68,7159,0.8869
"10H, 9C, JD",J-10-9 straight,6394,66,7247,0.8823
"9D, JD, 10S",J-10-9 straight,6503,65,7311,0.8895
"9C, 10C, JS",J-10-9 straight,6384,64,7177,0.8895
"9C, 10D, JS",J-10-9 straight,6538,43,7330,0.892
"9H, 10C, JC",J-10-9 straight,6402,65,7212,0.8877
"9S, JD, 10C",J-10-9 straight,6456,63,7287,0.886
"10C, 9S, JC",J-10-9 straight,6486,82,7340,0.8837
"9H, JD, 10C",J-10-9 straight,6469,53,7239,0.8936
"9H, 10D, JS",J-10-9 straight,6476,81,7343,0.8819
"10C, 9D, JC",J-10-9 straight,6424,59,7167,0.8963
"9S, 10D, JS",J-10-9 straight,6517,46,7268,0.8967
"10H, 9C, JS",J-10-9 straight,6426,56,7205,0.8919
"9C, 10D, JH",J-10-9 straight,6383,71,7193,0.8874
"10H, 9S, JC",J-10-9 straight,6464,42,7242,0.8926
"10H, 9S, JS",J-10-9 straight,6374,59,7142,0.8925
"9H, 10H, JS",J-10-9 straight,6455,76,7289,0.8856
"9H, 10H, JC",J-10-9 straight,6501,62,7267,0.8946
"9H, 10C, JH",J-10-9 straight,6485,58,7234,0.8965
"9S, 10C, JH",J-10-9 straight,6563,70,7439,0.8822
"10H, 9C, JC",J-10-9 straight,6488,54,7238,0.8964
"10H, 9C, JH",J-10-9 straight,6345,58,7151,0.8873
"9S, 10D, JC",J-10-9 straight,6488,72,7305,0.8882
"9H, 10D, JC",J-10-9 straight,6419,65,7257,0.8845
"9D, JD, 10C",J-10-9 straight,6482,78,7299,0.8881
"9C, 10S, JS",J-10-9 straight,6501,63,7323,0.8878
"9C, 10D, JC",J-10-9 straight,6336,67,7164,0.8844
"9S, 10S, JC",J-10-9 straight,6424,67,7234,0.888
"9H, JD, 10S",J-10-9 straight,6632,61,7495,0.8849
"9H, 10S, JC",J-10-9 straight,6446,75,7285,0.8848
"9S, JD, 10S",J-10-9 straight,6380,64,7196,0.8866
"9C, 10C, JH",J-10-9 straight,6353,58,7164,0.8868
"10H, 9D, JD",J-10-9 straight,6396,68,7216,0.8864
"9H, 10S, JS",J-10-9 straight,6304,53,7125,0.8848
"9H, JD, 10D",J-10-9 straight,6518,47,7321,0.8903
"9S, JD, 10D",J-10-9 straight,6470,55,7251,0.8923
"9C, 10S, JC",J-10-9 straight,6416,74,7247,0.8853
"9D, 10D, JH",J-10-9 straight,6301,68,7101,0.8873
"8H, 9C, 10D",10-9-8 straight,6152,58,7091,0.8676
"10H, 9C, 8D",10-9-8 straight,6278,58,7243,0.8668
"8C, 10H, 9D",10-9-8 straight,6213,61,7191,0.864
"8H, 9D, 10C",10-9-8 straight,6286,72,7305,0.8605
"8D, 9S, 10D",10-9-8 straight,6240,54,7254,0.8602
"9S, 10C, 8S",10-9-8 straight,6329,48,7260,0.8718
"9H, 10C, 8S",10-9-8 straight,6403,70,7325,0.8741
"9H, 8D, 10D",10-9-8 straight,6360,73,7328,0.8679
"8H, 10H, 9S",10-9-8 straight,6234,69,7184,0.8678
"9C, 10C, 8S",10-9-8 straight,6383,65,7337,0.87
"8C, 9D, 10D",10-9-8 straight,6256,65,7185,0.8707
"9C, 8D, 10D",10-9-8 straight,6284,76,7252,0.8665
"9H, 8D, 10S",10-9-8 straight,6278,78,7245,0.8665
"8D, 9S, 10S",10-9-8 straight,6259,76,7211,0.868
"9D, 8D, 10C",10-9-8 straight,6251,67,7135,0.8761
"9D, 10D, 8S",10-9-8 straight,6170,62,7082,0.8712
"9H, 8H, 10D",10-9-8 straight,6190,66,7146,0.8662
"8H, 9S, 10D",10-9-8 straight,6439,58,7404,0.8697
"8H, 9C, 10S",10-9-8 straight,6396,56,7380,0.8667
"8H, 9S, 10S",10-9-8 straight,6256,66,7217,0.8668
"9H, 8H, 10S",10-9-8 straight,6296,64,7268,0.8663
"10H, 9D, 8S",10-9-8 straight,6339,67,7312,0.8669
"8C, 9D, 10S",10-9-8 straight,6254,60,7152,0.8744
"9C, 8D, 10S",10-9-8 straight,6391,51,7366,0.8676
"9H, 10S, 8S",10-9-8 straight,6361,59,7323,0.8686
"8H, 9C, 10C",10-9-8 straight,6194,62,7186,0.862
"9H, 10H, 8D",10-9-8 straight,6302,62,7284,0.8652
"9D, 10S, 8S",10-9-8 straight,6383,67,7378,0.8651
