,name,wins,ties,total_games,winrate
"AD, AH, AS",A trail,7231,0,7231,1.0
"AC, AH, AS",A trail,7124,0,7124,1.0
"AD, AC, AS",A trail,7392,0,7392,1.0
"AD, AC, AH",A trail,7121,0,7121,1.0
"KD, KS, KH",K trail,7130,0,7139,0.9987
"KC, KS, KH",K trail,7248,0,7255,0.999
"KC, KD, KS",K trail,7402,0,7413,0.9985
"KC, KD, KH",K trail,7117,0,7126,0.9987
"QH, QD, QS",Q trail,7163,0,7186,0.9968
"QH, QC, QS",Q trail,7163,0,7182,0.9974
"QC, QD, QS",Q trail,7409,0,7439,0.996
"QC, QD, QH",Q trail,7092,0,7111,0.9973
"JH, JD, JS",J trail,7248,0,7280,0.9956
"JH, JC, JS",J trail,7311,0,7340,0.996
"JD, JC, JS",J trail,7272,0,7294,0.997
"JD, JC, JH",J trail,7151,0,7176,0.9965
"10H, 10S, 10D",10 trail,7166,0,7197,0.9957
"10H, 10S, 10C",10 trail,7259,0,7309,0.9932
"10C, 10S, 10D",10 trail,7375,0,7423,0.9935
"10H, 10D, 10C",10 trail,7191,0,7236,0.9938
"9H, 9D, 9S",9 trail,7255,0,7308,0.9927
"9H, 9C, 9S",9 trail,7323,0,7379,0.9924
"9C, 9D, 9S",9 trail,7333,0,7385,0.993
"9H, 9C, 9D",9 trail,7177,0,7221,0.9939
"8H, 8D, 8S",8 trail,7171,0,7235,0.9912
"8H, 8C, 8S",8 trail,7177,0,7243,0.9909
"8C, 8D, 8S",8 trail,7286,0,7361,0.9898
"8H, 8C, 8D",8 trail,7012,0,7075,0.9911
"7D, 7H, 7S",7 trail,7094,0,7169,0.9895
"7H, 7S, 7C",7 trail,7089,0,7164,0.9895
"7D, 7S, 7C",7 trail,7112,0,7191,0.989
"7D, 7H, 7C",7 trail,7134,0,7208,0.9897
"6S, 6H, 6D",6 trail,7199,0,7286,0.9881
"6S, 6H, 6C",6 trail,7163,0,7251,0.9879
"6S, 6D, 6C",6 trail,7073,0,7162,0.9876
"6C, 6H, 6D",6 trail,7097,0,7186,0.9876
"5H, 5S, 5D",5 trail,7154,0,7259,0.9855
"5H, 5S, 5C",5 trail,6996,0,7097,0.9858
"5S, 5C, 5D",5 trail,7013,0,7130,0.9836
"5H, 5D, 5C",5 trail,7360,0,7461,0.9865
"4D, 4H, 4S",4 trail,7056,0,7158,0.9858
"4C, 4H, 4S",4 trail,7103,0,7214,0.9846
"4C, 4D, 4S",4 trail,7226,0,7327,0.9862
"4C, 4D, 4H",4 trail,7175,0,7292,0.984
