,name,wins,ties,total_games,winrate
"KS, QC, AD",A-K-Q straight,367,2,374,0.9813
"QS, AS, KH",A-K-Q straight,330,1,338,0.9763
"QD, AS, KH",A-K-Q straight,359,4,370,0.9703
"QH, AC, KC",A-K-Q straight,312,1,320,0.975
"KD, QH, AD",A-K-Q straight,330,3,336,0.9821
"KS, QC, AH",A-K-Q straight,350,0,358,0.9777
"QH, AS, KC",A-K-Q straight,341,2,352,0.9688
"QH, AH, KC",A-K-Q straight,313,1,317,0.9874
"KS, QC, AC",A-K-Q straight,331,1,341,0.9707
"QS, KH, AD",A-K-Q straight,339,3,350,0.9686
"QD, KH, AD",A-K-Q straight,340,1,346,0.9827
"KS, QC, AS",A-K-Q straight,359,3,370,0.9703
"AD, QH, KC",A-K-Q straight,342,0,353,0.9688
"AC, QD, KH",A-K-Q straight,300,1,305,0.9836
"AC, QS, KH",A-K-Q straight,330,2,337,0.9792
"KS, AC, QD",A-K-Q straight,345,1,353,0.9773
"KS, QS, AC",A-K-Q straight,321,1,333,0.964
"AD, QC, KC",A-K-Q straight,361,1,366,0.9863
"KD, QH, AS",A-K-Q straight,305,1,315,0.9683
"KD, QH, AH",A-K-Q straight,334,1,339,0.9853
"KD, QC, AD",A-K-Q straight,322,2,330,0.9758
"KD, QD, AC",A-K-Q straight,360,1,371,0.9704
"KD, QS, AC",A-K-Q straight,365,1,374,0.9759
"KS, QH, AS",A-K-Q straight,344,0,349,0.9857
"KS, QH, AH",A-K-Q straight,307,2,314,0.9777
"KH, QH, AS",A-K-Q straight,315,2,320,0.9844
"KH, QC, AS",A-K-Q straight,345,2,351,0.9829
"KS, QS, AD",A-K-Q straight,336,1,342,0.9825
"AD, KS, QD",A-K-Q straight,353,0,358,0.986
"KD, QC, AC",A-K-Q straight,330,1,338,0.9763
"KD, QS, AD",A-K-Q straight,323,3,334,0.9671
"KD, QC, AH",A-K-Q straight,342,1,348,0.9828
"QS, AS, KC",A-K-Q straight,353,0,358,0.986
"KH, QC, AC",A-K-Q straight,310,2,319,0.9718
"AD, QD, KC",A-K-Q straight,314,1,322,0.9752
"KH, QH, AC",A-K-Q straight,342,2,350,0.9771
"AD, QS, KC",A-K-Q straight,347,1,359,0.9666
"QD, AS, KC",A-K-Q straight,346,5,355,0.9746
"QC, AH, KC",A-K-Q straight,366,3,376,0.9734
"KD, QD, AS",A-K-Q straight,346,2,358,0.9665
"KD, QS, AS",A-K-Q straight,330,4,339,0.9735
"KH, QC, AH",A-K-Q straight,320,1,324,0.9877
"QC, AS, KC",A-K-Q straight,339,4,345,0.9826
"KS, AS, QD",A-K-Q straight,359,3,373,0.9625
"QD, AC, KC",A-K-Q straight,364,3,379,0.9604
"QS, AC, KC",A-K-Q straight,353,4,363,0.9725
"KH, QC, AD",A-K-Q straight,333,0,340,0.9794
"QD, KH, AH",A-K-Q straight,313,1,323,0.969
"QS, KH, AH",A-K-Q straight,300,5,308,0.974
"QD, AH, KC",A-K-Q straight,349,2,358,0.9749
"KD, QC, AS",A-K-Q straight,326,3,339,0.9617
"QS, AH, KC",A-K-Q straight,357,2,364,0.9808
"KD, QD, AH",A-K-Q straight,316,2,328,0.9634
"KD, QS, AH",A-K-Q straight,341,2,352,0.9688
"3C, 2H, AC",A-2-3 straight,353,1,361,0.9778
"2S, 3D, AC",A-2-3 straight,328,1,342,0.9591
"2C, 3D, AD",A-2-3 straight,350,0,360,0.9722
"3C, 2H, AH",A-2-3 straight,328,2,334,0.982
"2C, 3S, AC",A-2-3 straight,332,4,342,0.9708
"2D, 3S, AS",A-2-3 straight,313,3,327,0.9572
"2D, 3H, AC",A-2-3 straight,307,3,316,0.9715
"2S, 3D, AD",A-2-3 straight,339,3,357,0.9496
"3C, 2H, AD",A-2-3 straight,332,3,343,0.9679
"2C, 3D, AH",A-2-3 straight,297,3,308,0.9643
"2H, 3S, AH",A-2-3 straight,337,3,350,0.9629
"2D, 3C, AS",A-2-3 straight,309,1,319,0.9687
"2D, 3H, AS",A-2-3 straight,363,0,372,0.9758
"2D, 3H, AH",A-2-3 straight,324,1,331,0.9789
"2C, 3H, AC",A-2-3 straight,340,2,353,0.9632
"2S, 3C, AD",A-2-3 straight,356,3,364,0.978
"2C, 3D, AC",A-2-3 straight,334,0,343,0.9738
"2D, 3S, AC",A-2-3 straight,333,2,344,0.968
"2D, 3C, AD",A-2-3 straight,308,3,325,0.9477
"3C, 2H, AS",A-2-3 straight,276,4,293,0.942
"2D, 3S, AH",A-2-3 straight,313,1,321,0.9751
"2D, 3D, AC",A-2-3 straight,344,3,360,0.9556
"2D, 3S, AD",A-2-3 straight,300,0,304,0.9868
"2C, AS, 3D",A-2-3 straight,309,1,319,0.9687
"2C, 3H, AS",A-2-3 straight,312,3,326,0.9571
"3H, 2H, AD",A-2-3 straight,308,2,322,0.9565
"2D, 3C, AC",A-2-3 straight,356,1,365,0.9753
"2S, 3S, AD",A-2-3 straight,335,2,346,0.9682
"2S, 3C, AS",A-2-3 straight,314,2,321,0.9782
"2S, 3C, AH",A-2-3 straight,330,2,337,0.9792
"2D, 3H, AD",A-2-3 straight,327,1,334,0.979
"2C, 3S, AS",A-2-3 straight,336,1,350,0.96
"2H, 3S, AD",A-2-3 straight,345,4,353,0.9773
"2S, AS, 3D",A-2-3 straight,327,1,340,0.9618
"2S, 3D, AH",A-2-3 straight,355,3,368,0.9647
"2S, 3H, AD",A-2-3 straight,330,1,339,0.9735
"2H, 3D, AD",A-2-3 straight,324,1,334,0.9701
"2C, 3C, AH",A-2-3 straight,370,5,388,0.9536
"2H, 3S, AC",A-2-3 straight,331,3,341,0.9707
"2S, 3H, AC",A-2-3 straight,367,2,377,0.9735
"2H, 3D, AH",A-2-3 straight,363,2,374,0.9706
"2C, 3S, AH",A-2-3 straight,367,3,381,0.9633
"2C, 3C, AD",A-2-3 straight,306,4,321,0.9533
"3H, 2H, AC",A-2-3 straight,333,1,339,0.9823
"2S, 3H, AH",A-2-3 straight,318,1,331,0.9607
"2H, 3D, AC",A-2-3 straight,311,1,323,0.9628
"2S, 3S, AC",A-2-3 straight,333,2,340,0.9794
"2C, 3H, AH",A-2-3 straight,335,3,352,0.9517
"2D, 3D, AH",A-2-3 straight,313,4,328,0.9543
"2C, 3C, AS",A-2-3 straight,315,1,328,0.9604
"2S, 3S, AH",A-2-3 straight,317,0,325,0.9754
"2H, 3D, AS",A-2-3 straight,340,3,356,0.9551
"3H, 2H, AS",A-2-3 straight,325,2,337,0.9644
"2S, 3C, AC",A-2-3 straight,330,0,346,0.9538
"2C, 3H, AD",A-2-3 straight,309,0,315,0.981
"2S, 3H, AS",A-2-3 straight,311,2,318,0.978
"2C, 3S, AD",A-2-3 straight,343,5,361,0.9501
"2D, 3C, AH",A-2-3 straight,329,2,340,0.9676
"2H, 3S, AS",A-2-3 straight,300,2,308,0.974
"2D, AS, 3D",A-2-3 straight,311,1,326,0.954
"JS, QH, KC",K-Q-J straight flush,335,3,349,0.9599
"KH, JS, QH",K-Q-J straight flush,310,6,330,0.9394
"KS, JC, QD",K-Q-J straight flush,347,2,368,0.9429
"KD, QH, JC",K-Q-J straight flush,320,1,336,0.9524
"QS, JD, KC",K-Q-J straight flush,343,0,353,0.9717
"JH, QC, KC",K-Q-J straight flush,289,0,302,0.957
"JH, QH, KC",K-Q-J straight flush,326,3,348,0.9368
"QD, JD, KC",K-Q-J straight flush,321,0,331,0.9698
"KD, QH, JH",K-Q-J straight flush,348,1,361,0.964
"KH, QH, JD",K-Q-J straight flush,333,2,349,0.9542
"JH, KS, QC",K-Q-J straight flush,336,2,346,0.9711
"KS, JD, QS",K-Q-J straight flush,312,3,332,0.9398
"JH, KS, QH",K-Q-J straight flush,293,2,307,0.9544
"KS, JC, QS",K-Q-J straight flush,329,1,338,0.9734
"KS, JD, QD",K-Q-J straight flush,287,3,305,0.941
"KD, QS, JS",K-Q-J straight flush,324,3,343,0.9446
"KS, JS, QD",K-Q-J straight flush,294,2,307,0.9577
"QH, JC, KC",K-Q-J straight flush,329,2,343,0.9592
"KH, QH, JC",K-Q-J straight flush,326,2,341,0.956
"KD, QD, JS",K-Q-J straight flush,311,3,328,0.9482
"KD, QH, JD",K-Q-J straight flush,284,6,300,0.9467
"KS, QH, JC",K-Q-J straight flush,303,3,313,0.9681
"KS, JS, QC",K-Q-J straight flush,350,0,365,0.9589
"JH, KS, QS",K-Q-J straight flush,301,2,320,0.9406
"QS, JS, KC",K-Q-J straight flush,306,1,321,0.9533
"QS, JS, KH",K-Q-J straight flush,318,2,339,0.9381
"QH, JD, KC",K-Q-J straight flush,314,2,325,0.9662
"JH, QD, KC",K-Q-J straight flush,318,2,332,0.9578
"JH, QS, KC",K-Q-J straight flush,341,4,359,0.9499
"QC, JD, KC",K-Q-J straight flush,344,2,363,0.9477
"KD, QD, JC",K-Q-J straight flush,340,3,364,0.9341
"KH, JS, QC",K-Q-J straight flush,360,2,376,0.9574
"JS, QC, KC",K-Q-J straight flush,308,1,321,0.9595
"KH, QC, JD",K-Q-J straight flush,317,3,327,0.9694
"QD, JC, KC",K-Q-J straight flush,328,3,346,0.948
"QD, JC, KH",K-Q-J straight flush,312,2,326,0.9571
"JH, KH, QC",K-Q-J straight flush,309,5,325,0.9508
"QD, JD, KH",K-Q-J straight flush,342,1,356,0.9607
"QS, JD, KH",K-Q-J straight flush,290,1,297,0.9764
"QD, JS, KC",K-Q-J straight flush,330,5,348,0.9483
"QD, JS, KH",K-Q-J straight flush,332,1,341,0.9736
"KS, QC, JD",K-Q-J straight flush,322,0,336,0.9583
"KD, QC, JH",K-Q-J straight flush,313,3,327,0.9572
"KD, QS, JD",K-Q-J straight flush,316,0,327,0.9664
"KH, JC, QC",K-Q-J straight flush,357,2,378,0.9444
"KD, QS, JC",K-Q-J straight flush,320,3,336,0.9524
"KS, QH, JD",K-Q-J straight flush,349,2,358,0.9749
"QS, JC, KC",K-Q-J straight flush,322,0,338,0.9527
"KD, JC, QC",K-Q-J straight flush,344,0,354,0.9718
"QS, JC, KH",K-Q-J straight flush,322,2,332,0.9699
"KD, QD, JH",K-Q-J straight flush,299,3,321,0.9315
"KD, QC, JD",K-Q-J straight flush,331,3,353,0.9377
"KS, JS, QH",K-Q-J straight flush,303,0,310,0.9774
"KD, QS, JH",K-Q-J straight flush,309,1,329,0.9392
"KS, JC, QC",K-Q-J straight flush,324,2,338,0.9586
"KD, JS, QC",K-Q-J straight flush,323,3,332,0.9729
"JH, KS, QD",K-Q-J straight flush,289,5,308,0.9383
"KD, JS, QH",K-Q-J straight flush,334,1,345,0.9681
"JH, QD, KH",K-Q-J straight flush,334,2,348,0.9598
"JH, QS, KH",K-Q-J straight flush,296,0,306,0.9673
"JH, QD, 10D",Q-J-10 straight flush,311,0,324,0.9599
"JD, QC, 10D",Q-J-10 straight flush,280,1,301,0.9302
"JH, QS, 10D",Q-J-10 straight flush,308,0,323,0.9536
"10S, JC, QC",Q-J-10 straight flush,365,5,384,0.9505
"10C, QH, JC",Q-J-10 straight flush,352,0,372,0.9462
"JS, QC, 10H",Q-J-10 straight flush,340,3,359,0.9471
"QS, JS, 10D",Q-J-10 straight flush,316,2,332,0.9518
"JS, 10H, QH",Q-J-10 straight flush,338,2,355,0.9521
"JH, QC, 10D",Q-J-10 straight flush,335,3,353,0.949
"QH, JD, 10H",Q-J-10 straight flush,309,2,327,0.945
"10S, QC, JH",Q-J-10 straight flush,339,2,353,0.9603
"10S, QS, JD",Q-J-10 straight flush,338,6,355,0.9521
"QS, JD, 10D",Q-J-10 straight flush,328,2,349,0.9398
"10S, QD, JS",Q-J-10 straight flush,309,4,332,0.9307
"QD, JS, 10C",Q-J-10 straight flush,335,2,345,0.971
"JC, QC, 10D",Q-J-10 straight flush,339,2,358,0.9469
"QD, JS, 10D",Q-J-10 straight flush,313,1,330,0.9485
"10S, QD, JH",Q-J-10 straight flush,332,2,349,0.9513
"10C, QH, JD",Q-J-10 straight flush,329,0,343,0.9592
"10S, QD, JD",Q-J-10 straight flush,315,3,334,0.9431
"JH, 10C, QH",Q-J-10 straight flush,301,2,318,0.9465
"QS, JS, 10C",Q-J-10 straight flush,334,1,346,0.9653
"QD, JD, 10H",Q-J-10 straight flush,323,2,334,0.9671
"QH, 10D, JC",Q-J-10 straight flush,307,2,322,0.9534
"QD, JC, 10H",Q-J-10 straight flush,277,2,298,0.9295
"QS, JC, 10H",Q-J-10 straight flush,337,1,348,0.9684
"10S, QC, JD",Q-J-10 straight flush,310,2,323,0.9598
"10S, QS, JH",Q-J-10 straight flush,308,1,320,0.9625
"QC, JD, 10H",Q-J-10 straight flush,330,1,348,0.9483
"JH, QH, 10D",Q-J-10 straight flush,303,2,317,0.9558
"JH, QS, 10H",Q-J-10 straight flush,315,3,337,0.9347
"JS, QC, 10D",Q-J-10 straight flush,300,0,327,0.9174
"QD, JS, 10H",Q-J-10 straight flush,339,1,351,0.9658
"JS, 10D, QH",Q-J-10 straight flush,326,1,342,0.9532
"QS, JS, 10H",Q-J-10 straight flush,334,2,354,0.9435
"10S, QS, JC",Q-J-10 straight flush,322,0,334,0.9641
"QS, JC, 10C",Q-J-10 straight flush,346,2,367,0.9428
"10S, QD, JC",Q-J-10 straight flush,313,0,329,0.9514
"JH, QC, 10H",Q-J-10 straight flush,329,3,345,0.9536
"10D, QH, JD",Q-J-10 straight flush,272,2,287,0.9477
"QS, JD, 10H",Q-J-10 straight flush,328,0,340,0.9647
"JC, QH, 10H",Q-J-10 straight flush,297,0,305,0.9738
"JC, QC, 10H",Q-J-10 straight flush,301,1,320,0.9406
"QD, JC, 10D",Q-J-10 straight flush,318,2,339,0.9381
"JH, QD, 10H",Q-J-10 straight flush,295,3,314,0.9395
"10C, JS, QC",Q-J-10 straight flush,306,1,324,0.9444
"10S, QH, JH",Q-J-10 straight flush,294,1,311,0.9453
"QD, 10C, JD",Q-J-10 straight flush,347,4,366,0.9481
"JH, 10C, QC",Q-J-10 straight flush,307,0,317,0.9685
"QD, JC, 10C",Q-J-10 straight flush,306,2,319,0.9592
"QS, 10C, JD",Q-J-10 straight flush,305,1,322,0.9472
"10S, QH, JC",Q-J-10 straight flush,339,2,360,0.9417
"10C, QC, JD",Q-J-10 straight flush,324,2,340,0.9529
"10S, QH, JD",Q-J-10 straight flush,314,2,329,0.9544
"JH, QS, 10C",Q-J-10 straight flush,314,2,336,0.9345
"JH, QD, 10C",Q-J-10 straight flush,329,2,347,0.9481
"QS, JC, 10D",Q-J-10 straight flush,321,2,336,0.9554
"10S, JS, QH",Q-J-10 straight flush,317,2,338,0.9379
"10C, JS, QH",Q-J-10 straight flush,343,3,361,0.9501
