,name,wins,ties,total_games,winrate
"4C, 9C, 8C",9-top flush,1378,0,1777,0.7755
"9S, 3S, 8S",9-top flush,1427,0,1850,0.7714
"8H, 3H, 9H",9-top flush,1389,0,1808,0.7683
"8D, 3D, 9D",9-top flush,1378,0,1780,0.7742
"3C, 9C, 8C",9-top flush,1378,0,1789,0.7703
"9S, 8S, 2S",9-top flush,1382,0,1784,0.7747
"2H, 8H, 9H",9-top flush,1399,0,1825,0.7666
"8D, 2D, 9D",9-top flush,1420,0,1813,0.7832
"9C, 8C, 2C",9-top flush,1400,0,1807,0.7748
"9S, 7S, 6S",9-top flush,1413,0,1833,0.7709
"9H, 6H, 7H",9-top flush,1361,0,1754,0.7759
"6D, 7D, 9D",9-top flush,1415,0,1807,0.7831
"7C, 9C, 6C",9-top flush,1350,0,1730,0.7803
"9S, 7S, 5S",9-top flush,1398,0,1786,0.7828
"5H, 9H, 7H",9-top flush,1386,0,1768,0.7839
"5D, 7D, 9D",9-top flush,1442,0,1826,0.7897
"7C, 9C, 5C",9-top flush,1430,0,1828,0.7823
"9S, 7S, 4S",9-top flush,1407,0,1812,0.7765
"4H, 9H, 7H",9-top flush,1404,0,1807,0.777
"7D, 4D, 9D",9-top flush,1443,0,1827,0.7898
"4C, 7C, 9C",9-top flush,1435,0,1864,0.7698
"9S, 7S, 3S",9-top flush,1458,0,1864,0.7822
"3H, 9H, 7H",9-top flush,1375,0,1790,0.7682
"3D, 7D, 9D",9-top flush,1384,0,1800,0.7689
"3C, 7C, 9C",9-top flush,1381,0,1793,0.7702
"9S, 7S, 2S",9-top flush,1463,0,1886,0.7757
"2H, 9H, 7H",9-top flush,1364,0,1786,0.7637
"2D, 7D, 9D",9-top flush,1435,0,1879,0.7637
"7C, 9C, 2C",9-top flush,1372,0,1767,0.7765
"9S, 5S, 6S",9-top flush,1355,0,1765,0.7677
"5H, 9H, 6H",9-top flush,1399,0,1788,0.7824
"5D, 6D, 9D",9-top flush,1385,0,1761,0.7865
"6C, 9C, 5C",9-top flush,1410,0,1817,0.776
"9S, 4S, 6S",9-top flush,1387,0,1773,0.7823
"4H, 9H, 6H",9-top flush,1406,0,1796,0.7829
"6D, 4D, 9D",9-top flush,1385,0,1761,0.7865
"4C, 6C, 9C",9-top flush,1392,0,1782,0.7811
"9S, 3S, 6S",9-top flush,1404,0,1796,0.7817
"3H, 9H, 6H",9-top flush,1472,0,1904,0.7731
"3D, 6D, 9D",9-top flush,1367,0,1753,0.7798
"3C, 6C, 9C",9-top flush,1340,0,1739,0.7706
"9S, 2S, 6S",9-top flush,1368,0,1777,0.7698
"2H, 9H, 6H",9-top flush,1472,0,1867,0.7884
"2D, 6D, 9D",9-top flush,1415,0,1822,0.7766
"6C, 9C, 2C",9-top flush,1331,0,1754,0.7588
"9S, 4S, 5S",9-top flush,1341,0,1771,0.7572
"4H, 5H, 9H",9-top flush,1381,0,1795,0.7694
"5D, 4D, 9D",9-top flush,1444,0,1826,0.7908
"4C, 9C, 5C",9-top flush,1400,0,1823,0.768
"9S, 3S, 5S",9-top flush,1401,0,1807,0.7753
"5H, 3H, 9H",9-top flush,1428,0,1843,0.7748
"3D, 5D, 9D",9-top flush,1406,0,1819,0.773
"3C, 9C, 5C",9-top flush,1324,0,1712,0.7734
"9S, 5S, 2S",9-top flush,1414,0,1830,0.7727
"2H, 5H, 9H",9-top flush,1399,0,1833,0.7632
"2D, 5D, 9D",9-top flush,1362,0,1728,0.7882
"9C, 5C, 2C",9-top flush,1417,0,1854,0.7643
"9S, 3S, 4S",9-top flush,1312,0,1715,0.765
"4H, 3H, 9H",9-top flush,1380,0,1780,0.7753
"3D, 4D, 9D",9-top flush,1428,0,1836,0.7778
"4C, 3C, 9C",9-top flush,1424,0,1834,0.7764
"9S, 4S, 2S",9-top flush,1389,0,1802,0.7708
"4H, 2H, 9H",9-top flush,1458,0,1870,0.7797
"2D, 4D, 9D",9-top flush,1422,0,1838,0.7737
"4C, 9C, 2C",9-top flush,1384,0,1861,0.7437
"9S, 3S, 2S",9-top flush,1434,0,1848,0.776
"2H, 3H, 9H",9-top flush,1445,0,1898,0.7613
"3D, 2D, 9D",9-top flush,1366,0,1793,0.7619
"3C, 9C, 2C",9-top flush,1439,0,1860,0.7737
"5S, 7S, 8S",8-top flush,1365,0,1802,0.7575
"8H, 5H, 7H",8-top flush,1380,0,1798,0.7675
"5D, 8D, 7D",8-top flush,1418,0,1789,0.7926
"7C, 5C, 8C",8-top flush,1388,0,1802,0.7703
"7S, 4S, 8S",8-top flush,1382,0,1800,0.7678
"4H, 8H, 7H",8-top flush,1455,0,1900,0.7658
"8D, 7D, 4D",8-top flush,1472,0,1871,0.7867
"4C, 7C, 8C",8-top flush,1407,0,1820,0.7731
"7S, 3S, 8S",8-top flush,1423,0,1829,0.778
"8H, 3H, 7H",8-top flush,1389,0,1805,0.7695
"8D, 3D, 7D",8-top flush,1350,0,1783,0.7572
"3C, 7C, 8C",8-top flush,1449,0,1856,0.7807
"7S, 8S, 2S",8-top flush,1404,0,1788,0.7852
"2H, 8H, 7H",8-top flush,1383,0,1822,0.7591
"8D, 2D, 7D",8-top flush,1420,0,1812,0.7837
"7C, 8C, 2C",8-top flush,1423,0,1845,0.7713
"6S, 5S, 8S",8-top flush,1361,0,1767,0.7702
"8H, 5H, 6H",8-top flush,1404,0,1778,0.7897
"5D, 8D, 6D",8-top flush,1379,0,1780,0.7747
"6C, 5C, 8C",8-top flush,1407,0,1812,0.7765
"6S, 4S, 8S",8-top flush,1431,0,1840,0.7777
"4H, 8H, 6H",8-top flush,1338,0,1746,0.7663
"8D, 6D, 4D",8-top flush,1406,0,1786,0.7872
"4C, 6C, 8C",8-top flush,1417,0,1830,0.7743
"6S, 3S, 8S",8-top flush,1375,0,1816,0.7572
"8H, 3H, 6H",8-top flush,1469,0,1878,0.7822
"8D, 3D, 6D",8-top flush,1307,0,1715,0.7621
"3C, 6C, 8C",8-top flush,1398,0,1803,0.7754
"6S, 8S, 2S",8-top flush,1303,0,1737,0.7501
"2H, 8H, 6H",8-top flush,1364,0,1798,0.7586
"8D, 2D, 6D",8-top flush,1397,0,1818,0.7684
"6C, 8C, 2C",8-top flush,1381,0,1794,0.7698
"5S, 4S, 8S",8-top flush,1364,0,1779,0.7667
"4H, 8H, 5H",8-top flush,1478,0,1889,0.7824
"8D, 5D, 4D",8-top flush,1414,0,1833,0.7714
"4C, 5C, 8C",8-top flush,1373,0,1794,0.7653
"5S, 3S, 8S",8-top flush,1379,0,1802,0.7653
"8H, 5H, 3H",8-top flush,1354,0,1763,0.768
"8D, 3D, 5D",8-top flush,1360,0,1803,0.7543
"3C, 5C, 8C",8-top flush,1423,0,1827,0.7789
"5S, 8S, 2S",8-top flush,1419,0,1840,0.7712
"2H, 8H, 5H",8-top flush,1391,0,1820,0.7643
"8D, 2D, 5D",8-top flush,1334,0,1795,0.7432
"5C, 8C, 2C",8-top flush,1395,0,1819,0.7669
"3S, 4S, 8S",8-top flush,1389,0,1822,0.7623
"4H, 8H, 3H",8-top flush,1355,0,1783,0.76
"8D, 3D, 4D",8-top flush,1432,0,1858,0.7707
"4C, 3C, 8C",8-top flush,1320,0,1708,0.7728
"4S, 8S, 2S",8-top flush,1379,0,1801,0.7657
"4H, 8H, 2H",8-top flush,1410,0,1802,0.7825
"8D, 2D, 4D",8-top flush,1401,0,1837,0.7627
"4C, 8C, 2C",8-top flush,1435,0,1846,0.7774
"3S, 8S, 2S",8-top flush,1415,0,1869,0.7571
"2H, 8H, 3H",8-top flush,1337,0,1772,0.7545
"8D, 2D, 3D",8-top flush,1401,0,1805,0.7762
"3C, 8C, 2C",8-top flush,1438,0,1876,0.7665
"6S, 7S, 4S",7-top flush,1298,0,1751,0.7413
"4H, 6H, 7H",7-top flush,1309,0,1725,0.7588
"6D, 7D, 4D",7-top flush,1388,0,1812,0.766
"4C, 7C, 6C",7-top flush,1430,0,1873,0.7635
"6S, 7S, 3S",7-top flush,1393,0,1831,0.7608
"3H, 6H, 7H",7-top flush,1335,0,1749,0.7633
"6D, 3D, 7D",7-top flush,1372,0,1795,0.7643
"3C, 7C, 6C",7-top flush,1380,0,1818,0.7591
"6S, 7S, 2S",7-top flush,1396,0,1806,0.773
"2H, 6H, 7H",7-top flush,1402,0,1863,0.7525
"6D, 2D, 7D",7-top flush,1421,0,1865,0.7619
"7C, 6C, 2C",7-top flush,1419,0,1894,0.7492
"5S, 7S, 4S",7-top flush,1387,0,1766,0.7854
"4H, 5H, 7H",7-top flush,1383,0,1800,0.7683
"5D, 7D, 4D",7-top flush,1382,0,1804,0.7661
"4C, 7C, 5C",7-top flush,1334,0,1725,0.7733
"5S, 7S, 3S",7-top flush,1342,0,1746,0.7686
"5H, 3H, 7H",7-top flush,1384,0,1836,0.7538
"5D, 3D, 7D",7-top flush,1328,0,1730,0.7676
"3C, 7C, 5C",7-top flush,1399,0,1828,0.7653
"5S, 7S, 2S",7-top flush,1364,0,1793,0.7607
"2H, 5H, 7H",7-top flush,1390,0,1798,0.7731
"5D, 2D, 7D",7-top flush,1379,0,1805,0.764
"7C, 5C, 2C",7-top flush,1404,0,1819,0.7719
"7S, 3S, 4S",7-top flush,1365,0,1765,0.7734
"4H, 3H, 7H",7-top flush,1436,0,1826,0.7864
"3D, 7D, 4D",7-top flush,1383,0,1772,0.7805
"4C, 7C, 3C",7-top flush,1436,0,1831,0.7843
"7S, 4S, 2S",7-top flush,1400,0,1865,0.7507
"4H, 2H, 7H",7-top flush,1382,0,1775,0.7786
"2D, 7D, 4D",7-top flush,1363,0,1778,0.7666
"4C, 7C, 2C",7-top flush,1328,0,1770,0.7503
"7S, 3S, 2S",7-top flush,1363,0,1814,0.7514
"2H, 3H, 7H",7-top flush,1378,0,1802,0.7647
"3D, 2D, 7D",7-top flush,1324,0,1814,0.7299
"3C, 7C, 2C",7-top flush,1364,0,1810,0.7536
"6S, 3S, 5S",6-top flush,1356,0,1768,0.767
"5H, 3H, 6H",6-top flush,1405,0,1794,0.7832
"5D, 3D, 6D",6-top flush,1421,0,1872,0.7591
"3C, 6C, 5C",6-top flush,1396,0,1827,0.7641
"6S, 5S, 2S",6-top flush,1372,0,1819,0.7543
"2H, 5H, 6H",6-top flush,1323,0,1780,0.7433
"5D, 2D, 6D",6-top flush,1370,0,1782,0.7688
"6C, 5C, 2C",6-top flush,1305,0,1768,0.7381
"6S, 3S, 4S",6-top flush,1373,0,1805,0.7607
"4H, 3H, 6H",6-top flush,1340,0,1790,0.7486
"3D, 6D, 4D",6-top flush,1394,0,1812,0.7693
"4C, 6C, 3C",6-top flush,1411,0,1837,0.7681
"6S, 4S, 2S",6-top flush,1378,0,1860,0.7409
"4H, 2H, 6H",6-top flush,1426,0,1844,0.7733
"2D, 6D, 4D",6-top flush,1367,0,1779,0.7684
"4C, 6C, 2C",6-top flush,1391,0,1823,0.763
"6S, 3S, 2S",6-top flush,1362,0,1796,0.7584
"2H, 3H, 6H",6-top flush,1431,0,1856,0.771
"3D, 2D, 6D",6-top flush,1370,0,1793,0.7641
"3C, 6C, 2C",6-top flush,1372,0,1826,0.7514
"5S, 4S, 2S",5-top flush,1314,0,1773,0.7411
"4H, 2H, 5H",5-top flush,1348,0,1813,0.7435
"2D, 5D, 4D",5-top flush,1387,0,1839,0.7542
"4C, 5C, 2C",5-top flush,1353,0,1800,0.7517
"5S, 3S, 2S",5-top flush,1424,0,1914,0.744
"2H, 5H, 3H",5-top flush,1425,0,1833,0.7774
"3D, 2D, 5D",5-top flush,1374,0,1806,0.7608
"3C, 5C, 2C",5-top flush,1386,0,1834,0.7557
"AH, AC, KD",A pair,1354,0,1847,0.7331
"KD, AD, AS",A pair,1405,0,1838,0.7644
"KS, AD, AS",A pair,1368,0,1784,0.7668
"AC, KD, AS",A pair,1377,0,1822,0.7558
"AC, KC, AS",A pair,1325,0,1763,0.7516
"KH, AC, AS",A pair,1328,0,1780,0.7461
"KS, AH, AC",A pair,1445,0,1874,0.7711
"KH, AD, AS",A pair,1344,0,1779,0.7555
"AH, KH, AC",A pair,1338,0,1816,0.7368
"KS, AH, AS",A pair,1299,0,1740,0.7466
"KH, AC, AD",A pair,1371,0,1771,0.7741
"AH, KC, AD",A pair,1412,0,1819,0.7763
"AH, KD, AD",A pair,1386,0,1784,0.7769
"KD, AC, AD",A pair,1436,0,1869,0.7683
"AH, KH, AS",A pair,1382,0,1840,0.7511
"AC, KC, AD",A pair,1347,0,1786,0.7542
"KS, AH, AD",A pair,1391,0,1785,0.7793
"KS, AC, AD",A pair,1360,0,1774,0.7666
"KS, AC, AS",A pair,1338,0,1734,0.7716
"AH, KD, AS",A pair,1362,0,1820,0.7484
"AH, KC, AS",A pair,1428,0,1885,0.7576
"AH, KH, AD",A pair,1314,0,1740,0.7552
"KC, AD, AS",A pair,1340,0,1780,0.7528
"AH, AC, KC",A pair,1437,0,1852,0.7759
"QS, AC, AD",A pair,1410,0,1834,0.7688
"QD, AC, AS",A pair,1308,0,1739,0.7522
"QH, AD, AS",A pair,1386,0,1832,0.7566
"QS, AC, AS",A pair,1423,0,1834,0.7759
"AC, QH, AS",A pair,1375,0,1818,0.7563
"AH, AC, QH",A pair,1355,0,1784,0.7595
"AH, QC, AD",A pair,1396,0,1826,0.7645
"QD, AH, AC",A pair,1392,0,1817,0.7661
"QD, AD, AS",A pair,1335,0,1773,0.753
"QD, AC, AD",A pair,1419,0,1848,0.7679
"QS, AD, AS",A pair,1419,0,1849,0.7674
"QS, AH, AC",A pair,1421,0,1865,0.7619
"QC, AC, AS",A pair,1350,0,1799,0.7504
"QC, AD, AS",A pair,1376,0,1816,0.7577
"AH, QH, AD",A pair,1397,0,1842,0.7584
"AC, QH, AD",A pair,1396,0,1843,0.7575
"AH, QC, AC",A pair,1329,0,1790,0.7425
"QD, AH, AD",A pair,1372,0,1817,0.7551
"QD, AH, AS",A pair,1391,0,1840,0.756
"QC, AC, AD",A pair,1373,0,1805,0.7607
"QS, AH, AS",A pair,1345,0,1778,0.7565
"AH, QH, AS",A pair,1344,0,1807,0.7438
"QS, AH, AD",A pair,1411,0,1846,0.7644
"AH, QC, AS",A pair,1332,0,1755,0.759
"AC, AD, JH",A pair,1348,0,1783,0.756
"AC, AD, JC",A pair,1448,0,1893,0.7649
"JD, AD, AS",A pair,1381,0,1817,0.76
"AH, AD, JH",A pair,1391,0,1814,0.7668
"AH, AD, JC",A pair,1434,0,1861,0.7706
"AH, JS, AS",A pair,1430,0,1890,0.7566
"AH, AC, JD",A pair,1414,0,1845,0.7664
"AH, AS, JC",A pair,1320,0,1757,0.7513
"AC, JD, AS",A pair,1368,0,1799,0.7604
"AH, AS, JH",A pair,1389,0,1837,0.7561
"JS, AC, AD",A pair,1410,0,1852,0.7613
"AD, AS, JC",A pair,1336,0,1776,0.7523
"AD, AS, JH",A pair,1388,0,1783,0.7785
"AH, JS, AD",A pair,1359,0,1803,0.7537
"AH, JD, AD",A pair,1370,0,1814,0.7552
"AH, AC, JH",A pair,1348,0,1791,0.7527
"AH, AC, JC",A pair,1387,0,1841,0.7534
"AC, JD, AD",A pair,1374,0,1810,0.7591
"JS, AC, AS",A pair,1286,0,1720,0.7477
"AH, JD, AS",A pair,1424,0,1873,0.7603
"AC, AS, JH",A pair,1375,0,1848,0.744
"AC, AS, JC",A pair,1320,0,1752,0.7534
"AH, JS, AC",A pair,1412,0,1859,0.7595
"JS, AD, AS",A pair,1393,0,1796,0.7756
"AH, 10D, AD",A pair,1344,0,1757,0.7649
"AC, 10D, AD",A pair,1364,0,1809,0.754
"10S, AD, AS",A pair,1356,0,1762,0.7696
"AC, 10C, AS",A pair,1338,0,1769,0.7564
"AH, 10H, AD",A pair,1368,0,1815,0.7537
"10S, AC, AD",A pair,1393,0,1849,0.7534
"10C, AD, AS",A pair,1340,0,1803,0.7432
"AH, 10S, AC",A pair,1322,0,1741,0.7593
"AH, 10D, AS",A pair,1377,0,1814,0.7591
"AH, 10S, AS",A pair,1353,0,1830,0.7393
"AH, 10C, AD",A pair,1348,0,1783,0.756
"AH, 10H, AS",A pair,1417,0,1846,0.7676
"AC, 10C, AD",A pair,1353,0,1783,0.7588
"10D, AD, AS",A pair,1375,0,1781,0.772
"AC, 10D, AS",A pair,1374,0,1788,0.7685
"AH, AC, 10D",A pair,1430,0,1876,0.7623
"10H, AD, AS",A pair,1354,0,1818,0.7448
"AH, 10C, AS",A pair,1358,0,1829,0.7425
"AH, AC, 10H",A pair,1356,0,1801,0.7529
"AH, 10S, AD",A pair,1351,0,1781,0.7586
"AC, 10H, AD",A pair,1358,0,1822,0.7453
"AC, 10H, AS",A pair,1451,0,1880,0.7718
"10S, AC, AS",A pair,1372,0,1800,0.7622
"AH, AC, 10C",A pair,1400,0,1833,0.7638
"AH, AC, 9D",A pair,1348,0,1803,0.7476
"9H, AD, AS",A pair,1350,0,1803,0.7488
"AD, AS, 9D",A pair,1412,0,1845,0.7653
"AH, AC, 9H",A pair,1369,0,1772,0.7726
"AH, 9C, AD",A pair,1329,0,1782,0.7458
"AC, 9H, AS",A pair,1417,0,1813,0.7816
"AC, AS, 9D",A pair,1352,0,1810,0.747
"9S, AD, AS",A pair,1291,0,1734,0.7445
"9S, AC, AD",A pair,1364,0,1816,0.7511
"9S, AH, AC",A pair,1346,0,1816,0.7412
"AC, AD, 9D",A pair,1341,0,1742,0.7698
"AH, 9H, AD",A pair,1365,0,1791,0.7621
"9C, AH, AC",A pair,1376,0,1850,0.7438
"9C, AC, AS",A pair,1346,0,1753,0.7678
"9S, AH, AS",A pair,1331,0,1738,0.7658
"9C, AD, AS",A pair,1392,0,1836,0.7582
"AH, AD, 9D",A pair,1352,0,1772,0.763
"9C, AC, AD",A pair,1365,0,1804,0.7567
"AC, 9H, AD",A pair,1312,0,1776,0.7387
"AH, AS, 9D",A pair,1386,0,1817,0.7628
"9S, AH, AD",A pair,1341,0,1787,0.7504
"AH, 9H, AS",A pair,1398,0,1834,0.7623
"AH, 9C, AS",A pair,1366,0,1783,0.7661
"9S, AC, AS",A pair,1352,0,1819,0.7433
"8S, AH, AD",A pair,1427,0,1855,0.7693
"AH, AC, 8D",A pair,1342,0,1758,0.7634
"8S, AC, AD",A pair,1389,0,1810,0.7674
"AH, 8C, AS",A pair,1351,0,1815,0.7444
"AH, AD, 8C",A pair,1387,0,1837,0.755
"8D, AD, AS",A pair,1378,0,1835,0.751
"8H, AC, AD",A pair,1419,0,1876,0.7564
"8H, AC, AS",A pair,1418,0,1860,0.7624
"AH, 8S, AS",A pair,1397,0,1861,0.7507
"8C, AD, AS",A pair,1400,0,1832,0.7642
"AH, 8D, AD",A pair,1321,0,1755,0.7527
"AH, 8D, AS",A pair,1387,0,1823,0.7608
"AH, AC, 8C",A pair,1356,0,1784,0.7601
"AH, AC, 8H",A pair,1271,0,1708,0.7441
"8H, AD, AS",A pair,1400,0,1820,0.7692
"AH, AC, 8S",A pair,1365,0,1846,0.7394
"8D, AC, AD",A pair,1395,0,1864,0.7484
"AC, 8C, AS",A pair,1334,0,1780,0.7494
"8S, AD, AS",A pair,1362,0,1829,0.7447
"AC, 8S, AS",A pair,1344,0,1803,0.7454
"8D, AC, AS",A pair,1394,0,1838,0.7584
"AC, AD, 8C",A pair,1352,0,1809,0.7474
"AH, AD, 8H",A pair,1407,0,1801,0.7812
"AH, AS, 8H",A pair,1370,0,1813,0.7557
"7C, AC, AD",A pair,1387,0,1825,0.76
"AH, AC, 7S",A pair,1309,0,1743,0.751
"7H, AD, AS",A pair,1322,0,1738,0.7606
"7S, AD, AS",A pair,1388,0,1872,0.7415
"AH, AC, 7H",A pair,1273,0,1703,0.7475
"AH, 7C, AD",A pair,1399,0,1843,0.7591
"AC, AD, 7H",A pair,1311,0,1735,0.7556
"AH, 7D, AS",A pair,1347,0,1806,0.7458
"7C, AC, AS",A pair,1461,0,1906,0.7665
"7S, AH, AD",A pair,1328,0,1746,0.7606
"AH, 7S, AS",A pair,1348,0,1778,0.7582
"AH, AC, 7D",A pair,1388,0,1822,0.7618
"7H, AC, AS",A pair,1371,0,1829,0.7496
"7C, AD, AS",A pair,1304,0,1721,0.7577
"7D, AD, AS",A pair,1400,0,1836,0.7625
"AH, 7C, AC",A pair,1405,0,1839,0.764
"7S, AC, AD",A pair,1367,0,1798,0.7603
"AC, 7D, AS",A pair,1321,0,1776,0.7438
"AH, 7C, AS",A pair,1372,0,1842,0.7448
"AH, AD, 7H",A pair,1399,0,1813,0.7716
"7S, AC, AS",A pair,1334,0,1767,0.755
"AH, 7D, AD",A pair,1438,0,1901,0.7564
"7H, AH, AS",A pair,1324,0,1768,0.7489
"7D, AC, AD",A pair,1337,0,1796,0.7444
"6S, AH, AC",A pair,1421,0,1840,0.7723
"6D, AC, AD",A pair,1368,0,1820,0.7516
"6S, AH, AS",A pair,1363,0,1798,0.7581
"AH, 6C, AD",A pair,1313,0,1739,0.755
"AH, AC, 6D",A pair,1356,0,1813,0.7479
"AH, 6H, AS",A pair,1331,0,1745,0.7628
"6D, AD, AS",A pair,1363,0,1800,0.7572
"AC, 6D, AS",A pair,1392,0,1843,0.7553
"6H, AC, AD",A pair,1369,0,1781,0.7687
"6S, AH, AD",A pair,1333,0,1796,0.7422
"AH, AC, 6H",A pair,1324,0,1763,0.751
"6H, AD, AS",A pair,1356,0,1789,0.758
"6C, AC, AS",A pair,1399,0,1822,0.7678
"6S, AC, AD",A pair,1382,0,1831,0.7548
"6C, AD, AS",A pair,1366,0,1786,0.7648
"6S, AC, AS",A pair,1398,0,1830,0.7639
"AH, 6C, AC",A pair,1360,0,1763,0.7714
"AH, 6D, AD",A pair,1380,0,1780,0.7753
"AC, 6H, AS",A pair,1438,0,1847,0.7786
"6C, AC, AD",A pair,1319,0,1780,0.741
"AH, 6H, AD",A pair,1348,0,1781,0.7569
"AH, 6C, AS",A pair,1339,0,1770,0.7565
"AH, 6D, AS",A pair,1376,0,1847,0.745
"6S, AD, AS",A pair,1379,0,1829,0.754
"5S, AD, AS",A pair,1352,0,1789,0.7557
"AH, AC, 5D",A pair,1397,0,1834,0.7617
"5S, AH, AC",A pair,1310,0,1767,0.7414
"5H, AD, AS",A pair,1329,0,1764,0.7534
"5D, AD, AS",A pair,1310,0,1744,0.7511
"5H, AC, AD",A pair,1301,0,1772,0.7342
"AH, 5C, AS",A pair,1386,0,1810,0.7657
"AH, 5H, AC",A pair,1398,0,1841,0.7594
"AC, 5D, AS",A pair,1377,0,1844,0.7467
"AH, AC, 5C",A pair,1413,0,1860,0.7597
"AH, 5H, AS",A pair,1346,0,1785,0.7541
"5C, AC, AD",A pair,1368,0,1814,0.7541
"5C, AD, AS",A pair,1412,0,1846,0.7649
"5S, AH, AS",A pair,1426,0,1853,0.7696
"5D, AH, AD",A pair,1405,0,1821,0.7716
"5S, AH, AD",A pair,1416,0,1834,0.7721
"AC, 5C, AS",A pair,1382,0,1818,0.7602
"5D, AC, AD",A pair,1398,0,1836,0.7614
"5S, AC, AD",A pair,1400,0,1830,0.765
"AH, 5C, AD",A pair,1331,0,1799,0.7399
"5S, AC, AS",A pair,1399,0,1835,0.7624
"AH, 5H, AD",A pair,1310,0,1745,0.7507
"AH, 5D, AS",A pair,1377,0,1816,0.7583
"5H, AC, AS",A pair,1359,0,1843,0.7374
"4H, AC, AS",A pair,1319,0,1769,0.7456
"4C, AH, AD",A pair,1483,0,1977,0.7501
"AH, AS, 4D",A pair,1346,0,1802,0.7469
"4C, AC, AD",A pair,1281,0,1731,0.74
"AH, 4S, AD",A pair,1356,0,1798,0.7542
"4C, AC, AS",A pair,1318,0,1756,0.7506
"4H, AD, AS",A pair,1371,0,1823,0.7521
"AD, AS, 4D",A pair,1443,0,1915,0.7535
"4H, AH, AC",A pair,1350,0,1796,0.7517
"AH, AC, 4D",A pair,1399,0,1820,0.7687
"4H, AC, AD",A pair,1363,0,1800,0.7572
"4S, AH, AC",A pair,1402,0,1838,0.7628
"4S, AC, AS",A pair,1367,0,1818,0.7519
"4C, AD, AS",A pair,1358,0,1821,0.7457
"4S, AD, AS",A pair,1285,0,1735,0.7406
"4H, AH, AS",A pair,1348,0,1784,0.7556
"4S, AC, AD",A pair,1375,0,1805,0.7618
"4C, AH, AC",A pair,1269,0,1726,0.7352
"AC, AS, 4D",A pair,1406,0,1847,0.7612
"4H, AH, AD",A pair,1389,0,1810,0.7674
"4C, AH, AS",A pair,1318,0,1783,0.7392
"AC, AD, 4D",A pair,1296,0,1776,0.7297
"AH, 4S, AS",A pair,1321,0,1787,0.7392
"AH, AD, 4D",A pair,1376,0,1808,0.7611
"3H, AD, AS",A pair,1364,0,1805,0.7557
"3C, AD, AS",A pair,1360,0,1807,0.7526
"AH, 3D, AS",A pair,1359,0,1832,0.7418
"AH, AC, 3H",A pair,1326,0,1819,0.729
"3C, AH, AC",A pair,1372,0,1827,0.751
"AH, 3D, AD",A pair,1377,0,1819,0.757
"AC, 3H, AS",A pair,1392,0,1821,0.7644
"3C, AH, AS",A pair,1309,0,1734,0.7549
"AH, 3S, AD",A pair,1410,0,1823,0.7735
"3D, AC, AS",A pair,1334,0,1810,0.737
"AH, 3H, AD",A pair,1351,0,1745,0.7742
"3C, AH, AD",A pair,1361,0,1790,0.7603
"3S, AC, AS",A pair,1384,0,1819,0.7609
"3C, AC, AD",A pair,1310,0,1750,0.7486
"AC, 3H, AD",A pair,1312,0,1796,0.7305
"3C, AC, AS",A pair,1422,0,1857,0.7658
"3S, AD, AS",A pair,1392,0,1849,0.7528
"3S, AC, AD",A pair,1363,0,1804,0.7555
"AH, 3S, AC",A pair,1432,0,1890,0.7577
"3D, AC, AD",A pair,1386,0,1842,0.7524
"AH, 3H, AS",A pair,1346,0,1758,0.7656
"AH, AC, 3D",A pair,1431,0,1880,0.7612
"3D, AD, AS",A pair,1383,0,1823,0.7586
"AH, 3S, AS",A pair,1375,0,1829,0.7518
"2H, AH, AC",A pair,1354,0,1795,0.7543
"AC, AS, 2C",A pair,1417,0,1850,0.7659
"2H, AH, AS",A pair,1322,0,1759,0.7516
"AH, 2D, AD",A pair,1353,0,1819,0.7438
"2S, AH, AS",A pair,1386,0,1809,0.7662
"AH, AD, 2S",A pair,1298,0,1715,0.7569
"AH, AD, 2C",A pair,1408,0,1867,0.7542
"AH, 2D, AS",A pair,1353,0,1790,0.7559
"2H, AH, AD",A pair,1337,0,1793,0.7457
"2H, AC, AD",A pair,1375,0,1832,0.7505
"AH, AS, 2C",A pair,1334,0,1793,0.744
"2H, AC, AS",A pair,1325,0,1772,0.7477
"AC, AD, 2S",A pair,1283,0,1730,0.7416
"2S, AD, AS",A pair,1448,0,1860,0.7785
"AH, AC, 2S",A pair,1321,0,1745,0.757
"AH, AC, 2C",A pair,1404,0,1861,0.7544
"AC, 2D, AD",A pair,1348,0,1805,0.7468
"AC, AD, 2C",A pair,1286,0,1726,0.7451
"2D, AD, AS",A pair,1297,0,1718,0.7549
"AD, AS, 2C",A pair,1374,0,1803,0.7621
"AC, 2D, AS",A pair,1325,0,1767,0.7499
"AH, AC, 2D",A pair,1417,0,1861,0.7614
"2S, AC, AS",A pair,1364,0,1788,0.7629
"2H, AD, AS",A pair,1336,0,1771,0.7544
"KS, AC, KD",K pair,1318,0,1763,0.7476
"KH, KC, AS",K pair,1337,0,1804,0.7411
"KH, KD, AS",K pair,1333,0,1833,0.7272
"AH, KC, KD",K pair,1313,0,1786,0.7352
"KS, KH, AC",K pair,1282,0,1757,0.7297
"KS, AD, KD",K pair,1282,0,1765,0.7263
"KS, KC, AD",K pair,1335,0,1813,0.7363
"KS, KC, AS",K pair,1357,0,1831,0.7411
"AH, KH, KC",K pair,1340,0,1776,0.7545
"KS, AC, KC",K pair,1311,0,1802,0.7275
