,name,wins,ties,total_games,winrate
"4H, 3C, 5D",5-4-3 straight flush,1632,4,1812,0.9007
"4C, 3D, 5H",5-4-3 straight flush,1596,9,1796,0.8886
"5S, 3C, 4S",5-4-3 straight flush,1581,10,1814,0.8716
"3S, 5H, 4S",5-4-3 straight flush,1560,6,1756,0.8884
"4H, 3H, 5D",5-4-3 straight flush,1583,7,1756,0.9015
"4C, 5H, 3C",5-4-3 straight flush,1724,5,1893,0.9107
"5S, 3S, 4H",5-4-3 straight flush,1700,9,1906,0.8919
"4C, 3S, 5D",5-4-3 straight flush,1609,7,1809,0.8894
"5S, 3C, 4D",5-4-3 straight flush,1689,5,1868,0.9042
"5S, 3H, 4C",5-4-3 straight flush,1695,5,1854,0.9142
"5H, 4S, 3H",5-4-3 straight flush,1648,7,1839,0.8961
"3D, 4D, 2C",4-3-2 straight flush,1565,7,1778,0.8802
"3C, 2D, 4D",4-3-2 straight flush,1633,7,1840,0.8875
"4H, 2H, 3C",4-3-2 straight flush,1630,6,1834,0.8888
"4H, 3D, 2S",4-3-2 straight flush,1593,8,1781,0.8944
"3D, 4S, 2C",4-3-2 straight flush,1564,5,1787,0.8752
"3C, 2S, 4D",4-3-2 straight flush,1594,9,1798,0.8865
"4S, 3H, 2C",4-3-2 straight flush,1638,5,1844,0.8883
"4H, 3D, 2H",4-3-2 straight flush,1605,6,1805,0.8892
"2S, 3S, 4D",4-3-2 straight flush,1588,6,1781,0.8916
"4H, 2H, 3S",4-3-2 straight flush,1645,6,1834,0.8969
"3C, 4S, 2S",4-3-2 straight flush,1627,4,1811,0.8984
"3H, 4D, 2C",4-3-2 straight flush,1581,2,1759,0.8988
"4C, 3D, 2H",4-3-2 straight flush,1645,4,1833,0.8974
"3S, 2D, 4D",4-3-2 straight flush,1606,9,1808,0.8883
"3D, 4S, 2D",4-3-2 straight flush,1657,6,1863,0.8894
"2S, 3H, 4D",4-3-2 straight flush,1541,11,1759,0.8761
"3C, 4S, 2C",4-3-2 straight flush,1637,7,1857,0.8815
"4C, 3H, 2S",4-3-2 straight flush,1486,7,1677,0.8861
